idCDP,BROAD_CPD_ID,CPD_ID,CPD_NAME,CPD_NAME_TYPE,cpd_type,CBP_SMILES
53,BRD-K34595206,222806,BRD-K34595206,BROAD_CPD_ID,NOM,CCOc1ccc(C=NNC(=O)c2nnn(c2CN2CCC(C)CC2)-c2nonc2N)cc1
54,BRD-K99582188,628663,BRD-K99582188,BROAD_CPD_ID,NOM,Clc1ccc(Cn2ncc3c(ncnc23)N2CCN(CC2)c2ccccc2)cc1
55,BRD-K38324426,287898,BRD-K38324426,BROAD_CPD_ID,NOM,Cc1ccc(cc1)S(=O)(=O)NC1CCCCCCC1
56,BRD-K85853281,630435,BRD-K85853281,BROAD_CPD_ID,MLP,C[C@@H]1O[C@H](C[C@H](N)[C@@H]1O)O[C@@H]1C[C@](O)(Cc2c(O)c3C(=O)c4ccccc4C(=O)c3c(O)c12)C(C)=O
57,BRD-K61679744,385603,BRD-K61679744,BROAD_CPD_ID,MLP,Fc1ccc(cc1)C(=O)OCC#CCSc1nnc(o1)-c1cccc2ccccc12
58,BRD-K65955264,630389,BRD-K65955264,BROAD_CPD_ID,MLP,CCCCCC[n+]1ccccc1\C=C\c1ccc(cc1)N(C)C
59,BRD-K98824517,130869,BRD-K98824517,BROAD_CPD_ID,NOM,CCn1nc(\C=C\c2ccccc2)nc2c1nc(=O)n(C)c2=O
60,BRD-A13346522,410205,BRD-A13346522,BROAD_CPD_ID,MLP,CCn1cc(CN2CCCC(C2)C(=O)c2cccc(c2)C(F)(F)F)cn1
61,BRD-K12238169,409944,BRD-K12238169,BROAD_CPD_ID,MLP,Cn1c(N)c(C#N)c(-c2ccccc2)c(C#N)c1=O
62,BRD-A84475555,630308,BRD-A84475555,BROAD_CPD_ID,MLP,Cc1cc(NC(=O)CS(=O)c2cn(Cc3cccc(Cl)c3)c3ccccc23)no1
63,BRD-K06748700,372905,BRD-K06748700,BROAD_CPD_ID,NOM,Fc1ccc(cc1)-n1sc2ccccc2c1=O
64,BRD-K16862492,160352,BRD-K16862492,BROAD_CPD_ID,NOM,C=CCN(c1ccccc1)S(=O)(=O)c1cccc(c1)C(=O)Nc1nc2ccccc2[nH]1
65,BRD-K37940862,630138,BRD-K37940862,BROAD_CPD_ID,MLP,Cc1c(n2ccccc2[n+]1C\C=C\c1ccccc1)P(=S)(c1ccccc1)c1ccccc1
66,BRD-K60936953,237804,BRD-K60936953,BROAD_CPD_ID,NOM,Nc1nonc1-n1nnc(C(=O)NN=Cc2c(F)cccc2Cl)c1-c1ccc2OCOc2c1
67,BRD-K89190195,371527,BRD-K89190195,BROAD_CPD_ID,NOM,Cc1nccn1CC(=O)c1ccc(O)c(O)c1
68,BRD-K88758204,308045,BRD-K88758204,BROAD_CPD_ID,NOM,Clc1ccc(OCC(=O)NN=Cc2cccnc2)c(Cl)c1
69,BRD-K07790824,630283,BRD-K07790824,BROAD_CPD_ID,MLP,CC(=O)Nc1ccc(cc1)C(C)=NNC(=O)C1CCCC1
70,BRD-K02421873,313935,BRD-K02421873,BROAD_CPD_ID,NOM,[O-][N+](=O)c1ccc(o1)C(=O)OCc1nnc(o1)-c1ccccc1
71,BRD-K32644160,188010,BRD-K32644160,BROAD_CPD_ID,NOM,N(c1nnc(s1)-c1ccncc1)c1cccc2ccccc12
72,BRD-K75989234,339952,BRD-K75989234,BROAD_CPD_ID,NOM,c1ccc(cc1)-c1cnc(nn1)-c1ccccn1
73,BRD-K49403449,409943,BRD-K49403449,BROAD_CPD_ID,NOM,CC(=O)Nc1ccc(cc1)\C=N\NC(=O)CC1CCCCC1
74,BRD-A06641369,141713,BRD-A06641369,BROAD_CPD_ID,NOM,CC(C)Oc1cccc(c1)C(=O)C1CCCN(Cc2cnn(c2)C(C)C)C1
75,BRD-K32656671,372913,BRD-K32656671,BROAD_CPD_ID,NOM,Fc1ccc2sn(-c3ccccc3)c(=O)c2c1
76,BRD-K18953385,75301,BRD-K18953385,BROAD_CPD_ID,NOM,OC(=O)c1ccccc1OCc1ccccc1Br
77,BRD-K53445087,630284,BRD-K53445087,BROAD_CPD_ID,MLP,CC(=O)NN=C(C)c1ccc(NC(=O)C2CC2)cc1
78,BRD-K24925364,5796,BRD-K24925364,BROAD_CPD_ID,MLP,COc1ccc(cc1NC(=O)C(C)C)-c1cn2cccnc2n1
79,BRD-K82034465,630415,BRD-K82034465,BROAD_CPD_ID,MLP,CC(=Cc1ccccc1)C=C1SC(=S)N(CCCC(=O)Nc2ccc(C(O)=O)c(O)c2)C1=O
80,BRD-K89306950,285657,BRD-K89306950,BROAD_CPD_ID,NOM,Cc1ccc(cc1)S(=O)(=O)n1c(N)nc2ccccc12
81,BRD-K47448802,100655,BRD-K47448802,BROAD_CPD_ID,MLP,CCOC(=O)N1CCC(CC1)NCCNC(=O)c1ccccc1
82,BRD-A02481876,46792,importazole,primary-common,NOM,CC(Nc1nc(nc2ccccc12)N1CCCC1)c1ccccc1
83,BRD-K13605477,635942,BRD-K13605477,BROAD_CPD_ID,MLP,Cc1cc(NC(=O)CS(=O)(=O)c2cn(Cc3cccc(Cl)c3)c3ccccc23)no1
84,BRD-K43909206,339582,BRD-K43909206,BROAD_CPD_ID,NOM,c1ccc(cc1)-c1cnnc(n1)-c1ccccn1
85,BRD-K96213252,400888,BRD-K96213252,BROAD_CPD_ID,MLP,CC(=O)Nc1ccc(NC(=O)c2ccccc2Br)cc1
86,BRD-A98248982,3169,BRD-A98248982,BROAD_CPD_ID,NOM,COc1ccc(CCN(C)C(=O)C2CCCN(Cc3ccc(OC)c(OC)c3)C2)cc1OC
87,BRD-K53643174,118492,BRD-K53643174,BROAD_CPD_ID,NOM,c1ccc(cc1)-c1nnc(nc1-c1ccccc1)-c1ccncc1
88,BRD-K55763052,125802,BRD-K55763052,BROAD_CPD_ID,NOM,CC1(C)Cc2c(CO1)sc(NC(=S)NC(=O)c1ccccc1)c2C(O)=O
89,BRD-K34968258,329950,BRD-K34968258,BROAD_CPD_ID,NOM,Cc1ccc(Cn2ncc3c(ncnc23)N2CCN(CC2)c2ccc(C)cc2)cc1
90,BRD-K44027058,93722,BRD-K44027058,BROAD_CPD_ID,NOM,O=C(Nc1c(nc2sccn12)-c1ccccc1)c1ccccc1
91,BRD-A11814108,119647,BRD-A11814108,BROAD_CPD_ID,NOM,CC(Oc1ccccc1)C(=O)NN=Cc1ccccn1
92,BRD-K63175663,400885,BRD-K63175663,BROAD_CPD_ID,NOM,COc1ccc(cc1)C(=O)Nc1cccc(NC(C)=O)c1
93,BRD-K14643723,25842,BRD-K14643723,BROAD_CPD_ID,NOM,NCCc1ccc(cc1)S(N)(=O)=O
94,BRD-K56983253,630155,BRD-K56983253,BROAD_CPD_ID,MLP,OC(=O)c1ccc(cc1)-c1cccc(c1)-c1nn2c(nc(cc2=O)N2CCNCC2)s1
95,BRD-K72336314,206098,BRD-K72336314,BROAD_CPD_ID,NOM,COc1cc(cc(OC)c1OC)N=c1ssnc1Cl
96,BRD-K48969316,635590,BRD-K48969316,BROAD_CPD_ID,MLP,CC(C)(C)[C@H](NC(=O)c1ccc(N)c(Cl)c1)C(=O)N1CCC[C@H]1C(=O)N[C@@H](CC(O)=O)C#N
97,BRD-A53107311,284454,BRD-A53107311,BROAD_CPD_ID,NOM,CC(C)OC(=O)C1=C(C)N=c2sc(=Cc3ccc(OCC(O)=O)cc3)c(=O)n2C1c1ccc(Cl)cc1
98,BRD-K40094191,404804,BRD-K40094191,BROAD_CPD_ID,NOM,CN(C)c1nc(N)nc(CSc2nnnn2-c2c(C)cccc2C)n1
99,BRD-K24632213,297668,BRD-K24632213,BROAD_CPD_ID,NOM,CC(C)Sc1nc2n(C)c(=O)[nH]c(=O)c2n1Cc1ccccc1
100,BRD-K21614065,35841,BRD-K21614065,BROAD_CPD_ID,NOM,Cc1cc(OCC(=O)Nc2nnc[nH]2)ccc1Cl
101,BRD-K70693222,372002,BRD-K70693222,BROAD_CPD_ID,MLP,C(Nc1ncnc2ccc(cc12)-c1ccc2OCOc2c1)c1cccs1
102,BRD-K93331292,628664,BRD-K93331292,BROAD_CPD_ID,NOM,Nc1nc2ccccc2n1S(=O)(=O)c1ccc(cc1)[N+]([O-])=O
103,BRD-K25522720,370682,BRD-K25522720,BROAD_CPD_ID,NOM,COc1ccc(cc1)-c1nnc(SCC(=O)c2ccc(O)c(O)c2)n1CC=C
104,BRD-K91913968,243885,BRD-K91913968,BROAD_CPD_ID,NOM,Clc1ccc(OCC(=O)NN=Cc2ccc[nH]2)c(Cl)c1
105,BRD-A64850503,283919,BRD-A64850503,BROAD_CPD_ID,NOM,CCOC(=O)C1=C(C)N=c2sc(=Cc3ccc(OCC(O)=O)cc3)c(=O)n2C1c1ccc(SC)cc1
